Elevation,LST,LandCover,Latitude,Longitude,NDBI,NDVI,Population,LandCover_Name,LandCover_Bare_sparse_vegetation,LandCover_Built-up land,LandCover_Cropland,LandCover_Grassland,LandCover_Permanent_water_bodies,LandCover_Shrubland,LandCover_Tree cover
919,43.91917043000001,40,19.97083204545824,75.43869996951601,0.1272068809416025,0.1622859898721967,1.562392234802246,Cropland,0,0,1,0,0,0,0
488,39.06045500000005,40,19.7290928920922,75.20954765744669,-0.2724226296077272,0.5707506995984913,1.3613667488098145,Cropland,0,0,1,0,0,0,0
505,40.23112685000001,30,19.78877450947081,75.22563882297466,0.0558774427968182,0.0993710691823899,15.38677978515625,Grassland,0,0,0,1,0,0,0
757,44.88476108000003,40,19.960296904041293,75.54458207146128,0.121404109589041,0.196037296037296,2.643491506576538,Cropland,0,0,1,0,0,0,0
586,48.50273525,30,19.867708923969268,75.4860615511924,0.1331513497118592,0.1652622995379179,31.39720916748047,Grassland,0,0,0,1,0,0,0
695,36.19273622000003,40,20.016180629204985,75.2392995523823,-0.1283395503578989,0.4454345860777476,4.481418132781982,Cropland,0,0,1,0,0,0,0
648,46.89626585000002,30,19.935851915028973,75.30169362811134,0.0577656143094516,0.1400189214758751,5.117676734924316,Grassland,0,0,0,1,0,0,0
555,38.22133109000004,40,19.90218910134825,75.19243391340508,-0.1871175523349436,0.4607661822985469,2.514454364776612,Cropland,0,0,1,0,0,0,0
558,39.99015644000002,40,19.929089164442512,75.15737614873473,0.034791650003999,0.1838336276240926,1.8379874229431152,Cropland,0,0,1,0,0,0,0
640,47.63455816999999,20,19.92599289264664,75.3084382196937,0.0585976965043443,0.2333553937789543,8.145834922790527,Shrubland,0,0,0,0,0,1,0
738,45.06591614000001,20,19.96864261370118,75.43129234556456,0.0774293059125964,0.297469269703543,1.5904831886291504,Shrubland,0,0,0,0,0,1,0
691,44.96508455000003,30,19.970674848752115,75.31779021504595,0.0565384325830008,0.241652630536015,2.979567527770996,Grassland,0,0,0,1,0,0,0
760,46.19728076000001,40,20.00187038927251,75.41944236124259,0.1481481481481481,0.1950489662676822,2.5853822231292725,Cropland,0,0,1,0,0,0,0
566,40.37297468000003,40,19.91957049512923,75.19178865320994,-0.1182102908277405,0.3080707631110645,1.4242150783538818,Cropland,0,0,1,0,0,0,0
521,41.400089690000016,40,19.83804880138788,75.16681575627517,0.0628358825961141,0.175220321410057,1.730002760887146,Cropland,0,0,1,0,0,0,0
755,42.94332572000002,20,19.95518920519544,75.52606775635601,0.1011638316920322,0.224390243902439,1.7865530252456665,Shrubland,0,0,0,0,0,1,0
569,43.98069479000003,40,19.85639420708885,75.45522627429204,-0.1195167838399841,0.4925412541254125,5.810156345367432,Cropland,0,0,1,0,0,0,0
552,43.24582049000003,40,19.90786796875888,75.15504540704286,0.0006657789613848,0.2798067358249254,1.45488178730011,Cropland,0,0,1,0,0,0,0
721,43.91233439000001,20,20.02966868691992,75.23835031039033,0.0261898546941616,0.2971719981455725,6.567098140716553,Shrubland,0,0,0,0,0,1,0
519,41.323184240000046,50,19.810302885546683,75.22249474683306,0.0294350059265112,0.2490148722511758,14.5155029296875,Built-up land,0,1,0,0,0,0,0
743,44.86083494000002,30,20.01175237523506,75.33350340106693,0.1551979673936057,0.3017944535073409,1.3051124811172483,Grassland,0,0,0,1,0,0,0
746,47.12185517,40,19.94523707837696,75.49618032229327,0.0802325581395348,0.1547445255474452,2.097850799560547,Cropland,0,0,1,0,0,0,0
599,45.35986586000001,50,19.85471045258632,75.37058599040569,0.0720633523977122,0.2099586966498393,36.7497444152832,Built-up land,0,1,0,0,0,0,0
586,45.105223369999976,40,19.843058658367884,75.40229388443807,0.0875038378876266,0.1913415285943346,7.436179161071777,Cropland,0,0,1,0,0,0,0
640,44.41478332999998,40,19.94351877016478,75.55695671646048,0.0009494672433801,0.2183198250353789,2.1682934761047363,Cropland,0,0,1,0,0,0,0
564,45.045408020000025,40,19.876227330101248,75.29556990678132,0.0823574954030775,0.26241512448409,37.23524475097656,Cropland,0,0,1,0,0,0,0
536,44.471180660000016,40,19.78279145624203,75.52644642964098,0.0510717120931463,0.2182775607270256,3.4031310081481934,Cropland,0,0,1,0,0,0,0
561,44.52415997000003,40,19.88045216937176,75.58512045160342,0.1217244294167371,0.2207372595094727,3.08433485031128,Cropland,0,0,1,0,0,0,0
741,47.90116373000001,30,19.975242863331413,75.28042911777189,0.145591598204455,0.1636866997346868,1.7274723052978516,Grassland,0,0,0,1,0,0,0
575,43.36716020000006,10,19.864008354204472,75.42068539746936,-0.135767707875055,0.4816345270890725,36.36750030517578,Tree cover,0,0,0,0,0,0,1
539,42.30073795999999,40,19.856862276187776,75.23531508560934,-0.0313216195569136,0.368375325803649,13.343097686767578,Cropland,0,0,1,0,0,0,0
581,43.408176440000034,40,19.879335859987048,75.41432115825064,-0.3238955333170613,0.6785640602434495,7.5416364669799805,Cropland,0,0,1,0,0,0,0
574,46.903101890000016,30,19.90504434986269,75.24356680361487,0.1729703451628585,0.1569640914036996,7.589609146118164,Grassland,0,0,0,1,0,0,0
534,40.92156689000001,40,19.768442062838243,75.30964394203743,-0.1010326839135526,0.3318737926593689,2.1638383865356445,Cropland,0,0,1,0,0,0,0
703,46.72878287000003,20,19.964999190226816,75.42568957698889,0.0856102003642987,0.1563489778289663,2.1574833393096924,Shrubland,0,0,0,0,0,1,0
679,37.13781875000001,40,20.033933267498764,75.42010246920783,-0.0732956364024325,0.382437817782053,2.9524645805358887,Cropland,0,0,1,0,0,0,0
554,45.684577760000025,40,19.774485509391376,75.33895621959309,0.112251949846974,0.1251251251251251,2.623918056488037,Cropland,0,0,1,0,0,0,0
733,43.87644518000002,30,20.02684967301953,75.45267910325285,0.1552173459814448,0.1739823265246994,2.207641839981079,Grassland,0,0,0,1,0,0,0
518,44.33958689000002,40,19.758712315511435,75.28528387152048,0.0362950742399245,0.146662927650028,14.836403846740724,Cropland,0,0,1,0,0,0,0
570,47.40896885000001,30,19.90505316213152,75.27309958004483,0.0789222243454997,0.1295992500585891,14.60128116607666,Grassland,0,0,0,1,0,0,0
575,49.76569364,40,19.87057003238221,75.55831515327134,0.0601761252446183,0.1441334127456819,6.070882320404053,Cropland,0,0,1,0,0,0,0
567,44.45238155000004,40,19.85049115387001,75.48878363931132,-0.0101978380583316,0.3545740462190619,4.6382551193237305,Cropland,0,0,1,0,0,0,0
537,41.442814940000005,40,19.804466930642835,75.54438275544992,-0.017813151411787,0.3212792127921279,2.783798933029175,Cropland,0,0,1,0,0,0,0
535,45.58716419000001,40,19.87052697675233,75.16835718513931,0.0567598045357724,0.1646039603960396,1.3584322929382324,Cropland,0,0,1,0,0,0,0
585,47.18850656000001,40,19.80286669623302,75.4502172745579,0.0120931886893117,0.3154155813402794,2.8381776809692383,Cropland,0,0,1,0,0,0,0
533,43.51413506000006,40,19.85582604497858,75.19267203483876,0.0116995848534406,0.2940207544061933,3.5525691509246826,Cropland,0,0,1,0,0,0,0
566,42.71944541000005,40,19.93005962721242,75.14470594389766,0.0494806210208868,0.2038477861083604,1.199683427810669,Cropland,0,0,1,0,0,0,0
581,44.95653950000002,30,19.827696725237992,75.41454984244528,0.0947465721768602,0.0970873786407767,3.251059293746948,Grassland,0,0,0,1,0,0,0
721,43.987530830000026,40,20.01859006094884,75.31874629221403,0.0354860906320652,0.2266533316664583,1.5308901071548462,Cropland,0,0,1,0,0,0,0
518,38.74257914000003,30,19.82546875506048,75.2168281899486,0.0261789181692094,0.2503060656649972,6.187530517578125,Grassland,0,0,0,1,0,0,0
687,47.352571520000026,30,20.007379283196126,75.5214920800231,0.0825204838080374,0.1546771421556592,1.7100216150283811,Grassland,0,0,0,1,0,0,0
542,43.87644518000002,10,19.7837972417323,75.29684977314511,-0.0738310090237899,0.4319704635580473,11.20502471923828,Tree cover,0,0,0,0,0,0,1
796,44.45067254000003,40,20.037222212744272,75.46392099110864,0.0665010510223581,0.2540110383776152,1.801013708114624,Cropland,0,0,1,0,0,0,0
647,44.45579957000001,30,19.77877412109036,75.42763056757659,0.1167060534448282,0.2185579937304075,2.817734479904175,Grassland,0,0,0,1,0,0,0
551,41.74872773000004,40,19.88586650795008,75.27994564527671,0.0700891075940949,0.1334089803857999,30.159894943237305,Cropland,0,0,1,0,0,0,0
580,43.6235117,50,19.869216494847755,75.4157582643546,0.068247878153703,0.109972299168975,55.884464263916016,Built-up land,0,1,0,0,0,0,0
678,39.49796156000002,40,20.03337330363646,75.41826326061356,-0.091346656900701,0.4309233090958979,2.983194351196289,Cropland,0,0,1,0,0,0,0
554,49.26666272,40,19.73897750794399,75.36855149340518,0.0325978647686832,0.0875340054408705,1.3507050275802612,Cropland,0,0,1,0,0,0,0
601,41.43768791000002,40,19.957660256866493,75.19729476607452,0.0202778496850461,0.2298526863084922,2.399365425109864,Cropland,0,0,1,0,0,0,0
602,44.20628411000001,50,19.9196868267954,75.33499612120966,0.0853752334908251,0.072680412371134,39.11120223999024,Built-up land,0,1,0,0,0,0,0
537,42.29390192000005,40,19.862726538758764,75.17275883210594,0.0074818798223053,0.267731820218008,1.671676516532898,Cropland,0,0,1,0,0,0,0
587,45.53418488,40,19.84988428248438,75.38960326963922,-0.028096750549719,0.2329329036038675,9.412408828735352,Cropland,0,0,1,0,0,0,0
769,45.78882737000004,20,19.97440788864229,75.36434048240659,0.1244749904543719,0.174993594670766,12.21340274810791,Shrubland,0,0,0,0,0,1,0
630,47.53885361000005,30,19.95604766381931,75.57328200782618,0.1221180148495506,0.1769482645710543,2.126736879348755,Grassland,0,0,0,1,0,0,0
656,43.775613590000034,40,19.93239662681021,75.4889430630332,-0.0212970993543413,0.2185811199264114,2.476051092147827,Cropland,0,0,1,0,0,0,0
531,42.54341738000005,40,19.855388183260025,75.26648077106876,0.0334264721101107,0.1864837398373983,39.880401611328125,Cropland,0,0,1,0,0,0,0
645,41.99140714999999,20,19.91818157590316,75.5193764415852,-0.029813557865796,0.2675549915397631,2.7936034202575684,Shrubland,0,0,0,0,0,1,0
607,45.13940357000001,40,19.96607815975121,75.19536255807472,0.09187874251497,0.1777696881446426,1.718847155570984,Cropland,0,0,1,0,0,0,0
