system:index,LST,Latitude,Longitude,NDBI,NDVI,.geo
0,43.91917043000001,19.97083204545701,75.43869996952193,0.12720688094160254,0.16228598987219678,"{""type"":""Point"",""coordinates"":[75.43869996952193,19.97083204545701]}"
1,39.06045500000005,19.729092892092005,75.20954765744698,-0.2724226296077272,0.5707506995984913,"{""type"":""Point"",""coordinates"":[75.20954765744698,19.729092892092005]}"
2,40.23112685000001,19.78877450947134,75.22563882297275,0.05587744279681823,0.09937106918238994,"{""type"":""Point"",""coordinates"":[75.22563882297275,19.78877450947134]}"
3,44.88476108000003,19.960296904040725,75.54458207146344,0.12140410958904109,0.19603729603729603,"{""type"":""Point"",""coordinates"":[75.54458207146344,19.960296904040725]}"
4,48.50273525,19.867708923969186,75.4860615511967,0.13315134971185927,0.1652622995379179,"{""type"":""Point"",""coordinates"":[75.4860615511967,19.867708923969186]}"
5,36.19273622000003,20.016180629155233,75.2392995525845,-0.12833955035789898,0.44543458607774766,"{""type"":""Point"",""coordinates"":[75.2392995525845,20.016180629155233]}"
6,46.89626585000002,19.935851915029403,75.30169362810862,0.057765614309451666,0.1400189214758751,"{""type"":""Point"",""coordinates"":[75.30169362810862,19.935851915029403]}"
7,38.221331090000035,19.902189101348313,75.19243391340507,-0.18711755233494365,0.4607661822985469,"{""type"":""Point"",""coordinates"":[75.19243391340507,19.902189101348313]}"
8,39.99015644000002,19.929089164442512,75.15737614873473,0.03479165000399904,0.1838336276240926,"{""type"":""Point"",""coordinates"":[75.15737614873473,19.929089164442512]}"
9,47.63455816999999,19.925992892647084,75.30843821969111,0.058597696504344314,0.23335539377895434,"{""type"":""Point"",""coordinates"":[75.30843821969111,19.925992892647084]}"
10,45.06591614000001,19.96864261370028,75.43129234556625,0.0774293059125964,0.29746926970354304,"{""type"":""Point"",""coordinates"":[75.43129234556625,19.96864261370028]}"
11,44.96508455000003,19.970674848752115,75.31779021504595,0.05653843258300083,0.24165263053601507,"{""type"":""Point"",""coordinates"":[75.31779021504595,19.970674848752115]}"
12,46.19728076000001,20.00187038927201,75.41944236124132,0.14814814814814814,0.19504896626768226,"{""type"":""Point"",""coordinates"":[75.41944236124132,20.00187038927201]}"
13,40.37297468000003,19.919570495129648,75.1917886532097,-0.1182102908277405,0.30807076311106457,"{""type"":""Point"",""coordinates"":[75.1917886532097,19.919570495129648]}"
14,41.400089690000016,19.838048801358433,75.16681575632568,0.0628358825961141,0.17522032141005703,"{""type"":""Point"",""coordinates"":[75.16681575632568,19.838048801358433]}"
15,42.94332572000002,19.955189205196806,75.52606775635148,0.10116383169203223,0.22439024390243903,"{""type"":""Point"",""coordinates"":[75.52606775635148,19.955189205196806]}"
16,43.98069479000003,19.85639420708703,75.45522627429375,-0.11951678383998415,0.49254125412541255,"{""type"":""Point"",""coordinates"":[75.45522627429375,19.85639420708703]}"
17,43.24582049000003,19.90786796875888,75.15504540704286,6.657789613848203E-4,0.2798067358249254,"{""type"":""Point"",""coordinates"":[75.15504540704286,19.90786796875888]}"
18,43.91233439000001,20.029668686919916,75.23835031039033,0.026189854694161664,0.29717199814557255,"{""type"":""Point"",""coordinates"":[75.23835031039033,20.029668686919916]}"
19,41.323184240000046,19.810302885546204,75.22249474683575,0.02943500592651126,0.2490148722511758,"{""type"":""Point"",""coordinates"":[75.22249474683575,19.810302885546204]}"
20,44.86083494000002,20.01175237523506,75.33350340106693,0.15519796739360575,0.30179445350734097,"{""type"":""Point"",""coordinates"":[75.33350340106693,20.01175237523506]}"
21,47.12185517,19.945237078377687,75.49618032229779,0.08023255813953488,0.15474452554744525,"{""type"":""Point"",""coordinates"":[75.49618032229779,19.945237078377687]}"
22,45.35986586000001,19.8547104525858,75.37058599040792,0.07206335239771228,0.20995869664983938,"{""type"":""Point"",""coordinates"":[75.37058599040792,19.8547104525858]}"
23,45.105223369999976,19.84305865836888,75.40229388443959,0.08750383788762665,0.1913415285943346,"{""type"":""Point"",""coordinates"":[75.40229388443959,19.84305865836888]}"
24,44.41478332999998,19.943518770165063,75.55695671646025,9.494672433801034E-4,0.2183198250353789,"{""type"":""Point"",""coordinates"":[75.55695671646025,19.943518770165063]}"
25,45.045408020000025,19.876227330101635,75.29556990678262,0.08235749540307752,0.26241512448409,"{""type"":""Point"",""coordinates"":[75.29556990678262,19.876227330101635]}"
26,44.471180660000016,19.78279145624906,75.52644642965187,0.051071712093146336,0.21827756072702564,"{""type"":""Point"",""coordinates"":[75.52644642965187,19.78279145624906]}"
27,44.52415997000003,19.880452169253832,75.5851204513323,0.12172442941673711,0.22073725950947276,"{""type"":""Point"",""coordinates"":[75.5851204513323,19.880452169253832]}"
28,47.90116373000001,19.97524286333113,75.28042911777506,0.145591598204455,0.1636866997346868,"{""type"":""Point"",""coordinates"":[75.28042911777506,19.97524286333113]}"
