Priority_Rank,Zone_ID,Mean_LST,Mean_Predicted_LST,Max_LST,Mean_NDVI,Mean_NDBI,Mean_Population,Point_Count,Very_High_Hotspot_Count,Zone_Latitude,Zone_Longitude,Hotspot_Percentage,Hotspot_Priority
1,4_22,48.15865457000003,46.650745,50.44758863000004,0.2229634869889832,0.0927855800225659,2.5846551656723022,6,5,19.81098787173843,75.58488838051107,83.33,High Priority
2,4_21,47.612930353793125,46.940758,49.48199798000002,0.1888213473678042,0.1031672979090944,2.618992262873156,29,27,19.81318657181185,75.5718238131596,93.1,High Priority
3,5_20,47.55252569000002,45.852337,50.034008210000025,0.2020594327926289,0.0471222259039233,2.840524403672469,38,35,19.832173498398134,75.55311056649676,92.11,High Priority
4,3_21,47.517680875000025,46.191303,50.25788852000005,0.2048357921477962,0.0751839600705301,2.340091029802958,18,14,19.79952235026968,75.56960760890544,77.78,High Priority
5,4_20,47.51677889750002,46.27741,50.60823557000003,0.197169846244933,0.0589125358016955,2.68491448296441,36,31,19.812505386381705,75.5527329461197,86.11,High Priority
6,0_15,47.465366180000046,47.15638,47.465366180000046,0.1274801587301587,0.1010480522048645,2.911846399307251,1,1,19.74184888764556,75.44556345164725,100.0,High Priority
7,6_20,47.432254111250025,45.72159,50.30915881999999,0.1945453560905123,0.0769182418744096,5.377040460705757,32,29,19.85378275143717,75.55195642215162,90.62,High Priority
8,5_22,47.20315521714287,46.952824,48.76079576000001,0.1837872860424493,0.1018003143459707,2.3679500988551547,7,5,19.828270531517635,75.58356251215189,71.43,High Priority
9,7_15,47.18632609896554,46.21058,50.28352367000002,0.1781686282601766,0.071148903104517,6.307922215297304,29,23,19.87495758359587,75.45250762020787,79.31,High Priority
10,5_21,47.05427806625002,46.454086,50.6475428,0.1663360348556577,0.1138416656388118,2.370611935853958,24,18,19.832869676151876,75.57240974990607,75.0,High Priority
